id,grip,action,max_beta_deg_above15,peak_speed_ms,exit_speed_ms,distance_m,first_beta15_s,completed
R80_GS_PARIS_DAKAR,1,releaseBrake,3.1135758,26.821508,0.14905773,52.498169,,true
R80_GS_PARIS_DAKAR,1,delayedReleaseBrake,66.527053,17.44994,0.072839596,38.929495,0.35,true
R80_GS_PARIS_DAKAR,1,counterPulseBrake,61.66793,15.353653,0.075994931,41.755673,0.43333333,true
R80_GS_PARIS_DAKAR,1,reverseCoast,4.3506972,26.58649,20.258992,106.19892,,true
R80_GS_PARIS_DAKAR,1,reverseBrake,110.40485,15.029505,0.03183475,31.210261,0.43333333,true
R80_GS_PARIS_DAKAR,0.25,holdCoast,13.635084,26.189251,21.586759,109.94622,,true
R80_GS_PARIS_DAKAR,0.25,holdBrake25,62.732344,20.563939,12.224895,88.917543,0.43333333,true
R80_GS_PARIS_DAKAR,0.25,holdBrake50,62.732347,20.563938,11.240349,88.51398,0.43333333,true
R80_GS_PARIS_DAKAR,0.25,holdBrake100,62.732347,20.563938,11.221541,88.512706,0.43333333,true
R80_GS_PARIS_DAKAR,0.25,releaseCoast,9.5197884,27.664901,23.512185,114.84379,,true
R80_GS_PARIS_DAKAR,0.25,releaseBrake,14.463025,22.525748,0.92898204,65.820628,,true
R80_GS_PARIS_DAKAR,0.25,delayedReleaseBrake,62.260911,15.601831,5.7542931,75.472341,0.425,true
R80_GS_PARIS_DAKAR,0.25,counterPulseBrake,10.020802,27.212273,1.120295,67.350809,,true
R80_GS_PARIS_DAKAR,0.25,reverseCoast,50.144421,24.080594,18.813522,103.08274,0.675,true
R80_GS_PARIS_DAKAR,0.25,reverseBrake,118.46704,16.493605,8.4355483,79.651104,0.69166667,true
FXRT_SPORT_GLIDE,1,holdCoast,2.6786267,27.538807,20.583852,107.19461,,true
FXRT_SPORT_GLIDE,1,holdBrake25,26.465867,22.207923,5.0570322,66.45528,0.49166667,true
FXRT_SPORT_GLIDE,1,holdBrake50,69.379673,16.600424,0.0027145462,34.683772,0.36666667,true
FXRT_SPORT_GLIDE,1,holdBrake100,119.2282,15.018785,0.0028441683,28.695123,0.35833333,true
FXRT_SPORT_GLIDE,1,releaseCoast,2.8048444,27.41583,23.525316,114.31753,,true
FXRT_SPORT_GLIDE,1,releaseBrake,2.9412739,26.959958,0.075790394,44.258036,,true
FXRT_SPORT_GLIDE,1,delayedReleaseBrake,73.159002,15.329147,0.032096915,35.206694,0.35,true
FXRT_SPORT_GLIDE,1,counterPulseBrake,65.277319,15.146371,0.02808711,37.667403,0.43333333,true
